# step, loss function, Y0, learning rate, running time
0.000000000000000000e+00, 5.433250248227533120e+03, 4.474507575961146344e-01, 1.000000000000000000e+00, 2.740329885482788086e+01
1.000000000000000000e+00, 4.924511962623246291e+03, 1.447450755544854584e+00, 1.000000000000000000e+00, 2.800266289710998535e+01
2.000000000000000000e+00, 4.448604203401604536e+03, 2.445521216997606828e+00, 1.000000000000000000e+00, 2.860172796249389648e+01
3.000000000000000000e+00, 4.377460424048967980e+03, 3.440236325730445799e+00, 1.000000000000000000e+00, 2.920352387428283691e+01
4.000000000000000000e+00, 3.742274616381138912e+03, 4.433149827754611749e+00, 1.000000000000000000e+00, 2.980625581741333008e+01
5.000000000000000000e+00, 3.237191715395807023e+03, 5.419349594986268670e+00, 1.000000000000000000e+00, 3.040890288352966309e+01
6.000000000000000000e+00, 3.178467561005415519e+03, 6.396498354829623700e+00, 1.000000000000000000e+00, 3.101071166992187500e+01
7.000000000000000000e+00, 3.029037576370576517e+03, 7.366795580588866521e+00, 1.000000000000000000e+00, 3.161087584495544434e+01
8.000000000000000000e+00, 2.748723861727112762e+03, 8.328424068379604250e+00, 1.000000000000000000e+00, 3.221064877510070801e+01
9.000000000000000000e+00, 2.479878191653727299e+03, 9.277996573971229566e+00, 1.000000000000000000e+00, 3.282365679740905762e+01
1.000000000000000000e+01, 2.333736567702766024e+03, 1.021437636581683606e+01, 1.000000000000000000e+00, 3.345739984512329102e+01
1.100000000000000000e+01, 3.203023449265613181e+03, 1.113853011203308085e+01, 1.000000000000000000e+00, 3.408709979057312012e+01
1.200000000000000000e+01, 2.022212519248461376e+03, 1.205934332465969838e+01, 1.000000000000000000e+00, 3.470840382575988770e+01
1.300000000000000000e+01, 2.057520524162161564e+03, 1.295236495019349299e+01, 1.000000000000000000e+00, 3.533197903633117676e+01
1.400000000000000000e+01, 1.791264145735377724e+03, 1.382719601065688231e+01, 1.000000000000000000e+00, 3.595419073104858398e+01
1.500000000000000000e+01, 1.726596568795322128e+03, 1.467674883640964190e+01, 1.000000000000000000e+00, 3.658690309524536133e+01
1.600000000000000000e+01, 1.939878029466072121e+03, 1.549929668538604410e+01, 1.000000000000000000e+00, 3.721359801292419434e+01
1.700000000000000000e+01, 1.837030146811964642e+03, 1.629673163953584591e+01, 1.000000000000000000e+00, 3.783544874191284180e+01
1.800000000000000000e+01, 1.982380217718521635e+03, 1.707238433467225036e+01, 1.000000000000000000e+00, 3.846452403068542480e+01
1.900000000000000000e+01, 1.781790590766687046e+03, 1.783152635962522581e+01, 1.000000000000000000e+00, 3.909527993202209473e+01
2.000000000000000000e+01, 1.465767419435648208e+03, 1.856335668884541334e+01, 1.000000000000000000e+00, 3.972455596923828125e+01
2.100000000000000000e+01, 1.858609548427843038e+03, 1.925644877863170379e+01, 1.000000000000000000e+00, 4.034504699707031250e+01
2.200000000000000000e+01, 2.147032088597396978e+03, 1.992937651662485621e+01, 1.000000000000000000e+00, 4.098607110977172852e+01
2.300000000000000000e+01, 2.244172592544386134e+03, 2.058193010672398060e+01, 1.000000000000000000e+00, 4.161719179153442383e+01
2.400000000000000000e+01, 2.165492317056273805e+03, 2.121972098465379020e+01, 1.000000000000000000e+00, 4.224032092094421387e+01
2.500000000000000000e+01, 2.714206027803613324e+03, 2.185307699992807784e+01, 1.000000000000000000e+00, 4.288096189498901367e+01
2.600000000000000000e+01, 1.811765455610264326e+03, 2.247435328861397963e+01, 1.000000000000000000e+00, 4.351714086532592773e+01
2.700000000000000000e+01, 2.064677632057509527e+03, 2.305820307590500917e+01, 1.000000000000000000e+00, 4.414872288703918457e+01
2.800000000000000000e+01, 2.465222310362087683e+03, 2.362892517134329751e+01, 1.000000000000000000e+00, 4.477613377571105957e+01
2.900000000000000000e+01, 1.183631077102698100e+03, 2.419206312685092186e+01, 1.000000000000000000e+00, 4.539518380165100098e+01
3.000000000000000000e+01, 1.734265802018797103e+03, 2.472523834725751968e+01, 1.000000000000000000e+00, 4.601828575134277344e+01
3.100000000000000000e+01, 1.618563383160933199e+03, 2.527014447088469495e+01, 1.000000000000000000e+00, 4.664457297325134277e+01
3.200000000000000000e+01, 1.509076093057267371e+03, 2.580034190609239886e+01, 1.000000000000000000e+00, 4.727258586883544922e+01
3.300000000000000000e+01, 1.430747192555984839e+03, 2.632472763917166958e+01, 1.000000000000000000e+00, 4.789168787002563477e+01
3.400000000000000000e+01, 1.342782805427451422e+03, 2.683826323537423164e+01, 1.000000000000000000e+00, 4.851473784446716309e+01
3.500000000000000000e+01, 1.295048561321917759e+03, 2.734137398747163772e+01, 1.000000000000000000e+00, 4.914222693443298340e+01
3.600000000000000000e+01, 1.574661827453705882e+03, 2.780131239037330104e+01, 1.000000000000000000e+00, 4.976957583427429199e+01
3.700000000000000000e+01, 1.388730326163707105e+03, 2.826394315395188528e+01, 1.000000000000000000e+00, 5.039888882637023926e+01
3.800000000000000000e+01, 1.521395062434255351e+03, 2.871825888556743678e+01, 1.000000000000000000e+00, 5.102980184555053711e+01
3.900000000000000000e+01, 1.247847286172260965e+03, 2.918482312369992826e+01, 1.000000000000000000e+00, 5.165328001976013184e+01
4.000000000000000000e+01, 1.380961332182374463e+03, 2.964493831722207418e+01, 1.000000000000000000e+00, 5.228397178649902344e+01
4.100000000000000000e+01, 1.047000315307354413e+03, 3.011058962396157312e+01, 1.000000000000000000e+00, 5.290817785263061523e+01
4.200000000000000000e+01, 1.204623754073779537e+03, 3.056913364097286490e+01, 1.000000000000000000e+00, 5.352903079986572266e+01
4.300000000000000000e+01, 1.091429999675580348e+03, 3.103013443948897887e+01, 1.000000000000000000e+00, 5.415488386154174805e+01
4.400000000000000000e+01, 1.436651745162397901e+03, 3.149623548059832956e+01, 1.000000000000000000e+00, 5.479416775703430176e+01
4.500000000000000000e+01, 9.584137081995395420e+02, 3.197425834630758601e+01, 1.000000000000000000e+00, 5.542512583732604980e+01
4.600000000000000000e+01, 1.140456512929145219e+03, 3.244145969186862288e+01, 1.000000000000000000e+00, 5.605774688720703125e+01
4.700000000000000000e+01, 7.848609461006569745e+02, 3.291354696437910832e+01, 1.000000000000000000e+00, 5.668139076232910156e+01
4.800000000000000000e+01, 9.947061820095077564e+02, 3.337175609921985142e+01, 1.000000000000000000e+00, 5.731376791000366211e+01
4.900000000000000000e+01, 1.225395096276070490e+03, 3.383680257160852278e+01, 1.000000000000000000e+00, 5.793561792373657227e+01
5.000000000000000000e+01, 7.195841656851218886e+02, 3.430691403075071833e+01, 1.000000000000000000e+00, 5.856307411193847656e+01
5.100000000000000000e+01, 9.101786690862252271e+02, 3.478069864701902958e+01, 1.000000000000000000e+00, 5.921219205856323242e+01
5.200000000000000000e+01, 1.073215336514293313e+03, 3.525908963082518000e+01, 1.000000000000000000e+00, 5.983798670768737793e+01
5.300000000000000000e+01, 1.172691418403442185e+03, 3.574847021385379975e+01, 1.000000000000000000e+00, 6.046353101730346680e+01
5.400000000000000000e+01, 8.480197668126495500e+02, 3.625223715536473179e+01, 1.000000000000000000e+00, 6.109433078765869141e+01
5.500000000000000000e+01, 1.105466641303604320e+03, 3.674552491045690061e+01, 1.000000000000000000e+00, 6.173110079765319824e+01
5.600000000000000000e+01, 6.041624550554420239e+02, 3.724137566685502065e+01, 1.000000000000000000e+00, 6.236270785331726074e+01
5.700000000000000000e+01, 1.135588727402660879e+03, 3.773384133016376296e+01, 1.000000000000000000e+00, 6.299474573135375977e+01
5.800000000000000000e+01, 8.737111682722643309e+02, 3.823620576829582518e+01, 1.000000000000000000e+00, 6.362296772003173828e+01
5.900000000000000000e+01, 8.788582851181927253e+02, 3.874547254504516758e+01, 1.000000000000000000e+00, 6.425688982009887695e+01
6.000000000000000000e+01, 9.624072023361401307e+02, 3.926563193316210487e+01, 1.000000000000000000e+00, 6.488048791885375977e+01
6.100000000000000000e+01, 9.041254449575553735e+02, 3.980365481531933369e+01, 1.000000000000000000e+00, 6.550392079353332520e+01
6.200000000000000000e+01, 8.864606274124208767e+02, 4.034527304566447725e+01, 1.000000000000000000e+00, 6.614737105369567871e+01
6.300000000000000000e+01, 9.888676925712456978e+02, 4.089890065426610732e+01, 1.000000000000000000e+00, 6.679673504829406738e+01
6.400000000000000000e+01, 8.346850949873141872e+02, 4.147238216954504963e+01, 1.000000000000000000e+00, 6.744151663780212402e+01
